"Player",AB,R,H,2B,3B,HR,TB,RBI,BB,K,SAC,AVG,OBP,SLG,OPS
"Andrew Burch",4,4,3,1,1,0,6,1,1,0,0,0.750,0.800,1.500,2.300
"Oliver Patton",5,4,4,3,0,0,7,3,0,0,0,0.800,0.800,1.400,2.200
"Luke Heuer",4,3,3,1,1,0,6,3,0,0,0,0.750,0.750,1.500,2.250
"Joe Edwards",5,3,3,2,1,0,7,4,0,0,0,0.600,0.600,1.400,2.000
"Total:",18,14,13,7,3,0,26,11,1,0,0,0.722,0.737,1.444,2.181
