"Player",PA,AB,R,H,2B,3B,HR,RBI,BB,K,SAC,"",AVG,OBP,SLG,OPS
"Andrew Burch",10,8,8,6,2,2,0,3,2,0,0,0,1.500,3.000,1.600,4.600
"Oliver Patton",10,10,8,8,6,0,0,6,0,0,0,0,1.600,2.800,1.600,4.400
"Luke Heuer",10,8,6,6,0,4,0,6,2,0,0,0,1.500,3.500,1.600,5.100
"Joe Edwards",10,10,6,8,4,2,0,8,0,0,0,0,1.600,3.200,1.600,4.800
"Total:",40,36,28,28,12,8,0,23,4,0,0,0,1.556,3.112,1.600,4.712
